iter	MultiClass
0	1.426199609
1	1.334418563
2	1.297668127
3	1.274234427
4	1.258864013
5	1.238001566
6	1.231822956
7	1.232850897
8	1.221952119
9	1.215723189
10	1.205298907
11	1.195672157
12	1.184833832
13	1.180297558
14	1.176311966
15	1.172010779
16	1.165741526
17	1.161628395
18	1.159822346
19	1.151564395
20	1.149094796
21	1.144821666
22	1.141068051
23	1.1349431
24	1.13282297
25	1.130713126
26	1.128638918
27	1.125501375
28	1.122906971
29	1.120705817
30	1.118290188
31	1.117351924
32	1.114511223
33	1.112882128
34	1.109226416
35	1.106295389
36	1.106715734
37	1.104435064
38	1.097809525
39	1.095598764
40	1.098481736
41	1.10524542
42	1.103321998
43	1.10142659
44	1.099644353
45	1.098211477
46	1.096243714
47	1.093345043
48	1.092596748
49	1.091601891
50	1.089746222
51	1.088393423
52	1.085806151
53	1.085659729
54	1.084650223
55	1.08314396
56	1.082398786
57	1.081057555
58	1.078825276
59	1.078018367
60	1.077223791
61	1.075697206
62	1.075611716
63	1.074467138
64	1.073139928
65	1.072381428
66	1.072332915
67	1.07047718
68	1.072880962
69	1.07213373
70	1.072014684
71	1.071678369
72	1.071152536
73	1.078482205
74	1.086886979
75	1.078349333
76	1.077669678
77	1.076215303
78	1.086267955
79	1.068019283
80	1.067598763
81	1.067183428
82	1.060851105
83	1.059460087
84	1.077561494
85	1.07700137
86	1.076812659
87	1.086357944
88	1.085217866
89	1.084802474
90	1.08586447
91	1.060706909
92	1.060015073
93	1.072034266
94	1.071050963
95	1.066051841
96	1.066803053
97	1.06611932
98	1.056022182
99	1.055458313
100	1.054375374
101	1.053970053
102	1.052515215
103	1.051939161
104	1.059665043
105	1.055236279
106	1.049947795
107	1.05836488
108	1.061392287
109	1.061351317
110	1.060891636
111	1.058653115
112	1.058385511
113	1.048118871
114	1.047662185
115	1.046962335
116	1.046642283
117	1.039680964
118	1.038965984
119	1.030760708
120	1.029976463
121	1.029832971
122	1.029647777
123	1.029491014
124	1.029163279
125	1.028635737
126	1.028272113
127	1.029663928
128	1.034396933
129	1.034069252
130	1.031889982
131	1.031549403
132	1.031548282
133	1.03125404
134	1.030736533
135	1.030909428
136	1.046268742
137	1.041804188
138	1.036113547
139	1.041191303
140	1.040859794
141	1.04070503
142	1.040506094
143	1.040403553
144	1.039926157
145	1.037260255
146	1.034684571
147	1.047702161
148	1.047336861
149	1.047265813
150	1.047163435
151	1.046781621
152	1.046672485
153	1.03666252
154	1.034425553
155	1.03431657
156	1.034174123
157	1.033996769
158	1.034836493
159	1.03597537
160	1.035828896
161	1.035663725
162	1.035553087
163	1.035380505
164	1.036490149
165	1.033753396
166	1.033919193
167	1.033404901
168	1.03327053
169	1.033084926
170	1.032580027
171	1.032306873
172	1.032149131
173	1.032086407
174	1.02217824
175	1.021984747
176	1.021826686
177	1.021486535
178	1.021341629
179	1.021214736
180	1.020661752
181	1.020271488
182	1.035343529
183	1.030869604
184	1.030576879
185	1.020505266
186	1.020333368
187	1.020181067
188	1.020054999
189	1.020065501
190	1.019815757
191	1.019654987
192	1.01957523
193	1.019479035
194	1.019342044
195	1.019269541
196	1.019058249
197	1.018672502
198	1.020725598
199	1.029324238
200	1.029210335
201	1.028809561
202	1.029173821
203	1.029066181
204	1.028237216
205	1.027741124
206	1.027679752
207	1.027589717
208	1.02749719
209	1.027305875
210	1.027182283
211	1.017242986
212	1.017171343
213	1.017086213
214	1.016942866
215	1.017206936
216	1.017066726
217	1.017611936
218	1.034449357
219	1.034318403
220	1.025301512
221	1.025229673
222	1.022129764
223	1.021757917
224	1.020752064
225	1.02539163
226	1.025250832
227	1.024969793
228	1.024625202
229	1.024403756
230	1.024251974
231	1.02417039
232	1.022207774
233	1.022089589
234	1.019298719
235	1.022812139
236	1.021866685
237	1.021746279
238	1.021702641
239	1.025205125
240	1.025070036
241	1.024807288
242	1.033899238
243	1.023950502
244	1.023277013
245	1.023202889
246	1.023124032
247	1.023001533
248	1.022825521
249	1.022765839
250	1.022872744
251	1.022783323
252	1.022711462
253	1.022614502
254	1.022552039
255	1.024062006
256	1.019544136
257	1.038218101
258	1.032714031
259	1.032424323
260	1.031530118
261	1.032478694
262	1.029745886
263	1.028874425
264	1.028835684
265	1.028766806
266	1.028728164
267	1.032413054
268	1.036918851
269	1.033818314
270	1.023958877
271	1.023805957
272	1.020914597
273	1.020810399
274	1.020769166
275	1.018263271
276	1.018106139
277	1.01799309
278	1.018939807
279	1.018849742
280	1.02531603
281	1.033514641
282	1.033651915
283	1.02749653
284	1.04026629
285	1.04016796
286	1.036494566
287	1.03639435
288	1.032779993
289	1.032657738
290	1.044722152
291	1.04462785
292	1.042878392
293	1.026575478
294	1.040420318
295	1.050787717
296	1.020514073
297	1.02041738
298	1.033658523
299	1.052069827
300	1.056118607
301	1.055714903
302	1.055630864
303	1.055480295
304	1.055413732
305	1.022459217
306	1.034181506
307	1.04126041
308	1.035105098
309	1.025941726
310	1.039290482
311	1.036255663
312	1.036178254
313	1.036100644
314	1.027380577
315	1.041521811
316	1.025325911
317	1.029645781
318	1.029414153
319	1.041272572
320	1.041652344
321	1.026730331
322	1.01902663
323	1.034224449
324	1.050473712
325	1.022417129
326	1.031259555
327	1.041428421
328	1.041178639
329	1.024605172
330	1.048584478
331	1.047848115
332	1.097170768
333	1.064676111
334	1.07946276
335	1.105454306
336	1.05943032
337	1.146816503
338	1.115303581
339	1.099045014
340	1.062959592
341	1.092977786
342	1.074808771
343	1.085575835
344	1.126101283
345	1.18002774
346	1.102009821
347	1.139942614
