iter	Passed	Remaining
0	4228	12680007
1	8584	12868159
2	12778	12765784
3	16926	12678316
4	20973	12562996
5	25243	12596362
6	29139	12459400
7	33141	12395088
8	37135	12341246
9	41112	12292544
10	45314	12313293
11	49567	12342401
12	53828	12368084
13	58027	12376490
14	62114	12360881
15	66244	12354572
16	70453	12362477
17	74559	12352029
18	78810	12364889
19	83201	12396994
20	87277	12380953
21	91295	12358146
22	95526	12364484
23	99524	12341060
24	103720	12342795
25	107824	12333492
26	112079	12341247
27	116307	12345251
28	120511	12346211
29	124805	12355770
30	128880	12343468
31	132926	12328895
32	136951	12313225
33	141110	12309848
34	145196	12300214
35	149421	12302397
36	153497	12292246
37	157551	12280745
38	161838	12287272
39	166141	12294490
40	170273	12288758
41	174434	12285194
42	178560	12279179
43	182658	12271320
44	186852	12269957
45	191249	12281535
46	195710	12296426
47	199898	12293777
48	204110	12292480
49	208244	12286446
50	212342	12278378
51	216498	12273772
52	220733	12273616
53	224894	12269265
54	228874	12255202
55	232923	12245113
56	237082	12240929
57	241107	12229994
58	245265	12225843
59	249245	12213029
60	253355	12206774
61	257593	12206614
62	261985	12213497
63	265928	12199450
64	270325	12206219
65	274999	12224993
66	279561	12238115
67	284092	12249379
68	288171	12241033
69	292207	12230986
70	296217	12220002
71	300253	12210311
72	304265	12199803
73	308325	12191343
74	312204	12175983
75	316203	12165530
76	320293	12158685
77	324605	12160228
78	328862	12159572
79	333374	12168152
80	337319	12156009
81	341284	12144751
82	345233	12133093
83	349276	12124868
84	353583	12125844
85	357670	12119195
86	361558	12105961
87	365678	12100632
88	369800	12095384
89	373806	12086396
90	377712	12074342
91	381729	12065986
92	385780	12058753
93	389882	12053181
94	393983	12047589
95	398100	12042529
96	402166	12035972
97	406245	12029855
98	410112	12017543
99	414290	12014436
100	418353	12007980
101	422308	11998533
102	426476	11995179
103	430493	11987600
104	434454	11978544
105	438402	11969225
106	442469	11963225
107	446431	11954434
108	450464	11947652
109	454442	11939442
110	458486	11933039
111	462585	11928091
112	466566	11920145
113	470611	11913909
114	474677	11908213
115	478783	11903537
116	483004	11901716
117	487072	11896115
118	491088	11889285
119	495161	11883871
120	499253	11878931
121	503260	11871989
122	507244	11864570
123	511265	11858054
124	515250	11850759
125	519327	11845622
126	523362	11839539
127	527421	11834016
128	531387	11826452
129	535446	11821020
130	539625	11818208
131	543717	11813492
132	547737	11807251
133	551790	11801723
134	555997	11799496
135	559890	11790633
136	563960	11785530
137	568003	11779907
138	572048	11774318
139	576158	11770101
140	580179	11764058
141	584304	11760162
142	588342	11754497
143	592287	11747029
144	596323	11741410
145	600380	11736196
146	604530	11732821
147	608468	11725357
148	612439	11718564
149	616440	11712371
150	620415	11705719
151	624411	11699506
152	628415	11693458
153	632397	11687042
154	636473	11682377
155	640619	11678984
156	644631	11673168
157	648732	11668973
158	652744	11663189
159	656668	11655872
160	660719	11650827
161	664746	11645378
162	668650	11637800
163	672650	11631934
164	676669	11626407
165	680657	11620384
166	684812	11617211
167	688827	11611655
168	692842	11606131
169	696826	11600106
170	701005	11597328
171	705188	11594610
172	709197	11589018
173	713106	11581837
174	717037	11575030
175	720978	11568427
176	725040	11563785
177	729132	11559624
178	733190	11554911
179	737177	11549120
180	741179	11543563
181	745177	11537971
