iter	MultiClass
0	1.762687075
1	1.736137641
2	1.713135934
3	1.691078719
4	1.671382493
5	1.652579905
6	1.634904766
7	1.618672885
8	1.605210522
9	1.591656333
10	1.579570552
11	1.567351827
12	1.556002636
13	1.544608945
14	1.534695091
15	1.524715379
16	1.515997346
17	1.507026132
18	1.499107402
19	1.492093961
20	1.484468524
21	1.477415039
22	1.470723884
23	1.464557566
24	1.459509104
25	1.453434572
26	1.447769555
27	1.443101107
28	1.437700525
29	1.433661962
30	1.429314928
31	1.424223449
32	1.419642073
33	1.415823671
34	1.41255396
35	1.408467726
36	1.405256145
37	1.401435874
38	1.398504514
39	1.395266945
40	1.39163943
41	1.388883108
42	1.386272603
43	1.383767234
44	1.380911059
45	1.378286234
46	1.375772338
47	1.373206643
48	1.370781036
49	1.368285239
50	1.365556716
51	1.363039323
52	1.36105027
53	1.359153081
54	1.357225101
55	1.355626888
56	1.353260028
57	1.351609008
58	1.34976953
59	1.348026688
60	1.346702964
61	1.345448496
62	1.343798691
63	1.342477304
64	1.34077582
65	1.33940182
66	1.337607718
67	1.336524275
68	1.334992594
69	1.333711517
70	1.332270279
71	1.331113812
72	1.329772398
73	1.328204583
74	1.326596076
75	1.325544626
76	1.324129252
77	1.322961508
78	1.321689113
79	1.320795728
80	1.319570635
81	1.318573373
82	1.317442007
83	1.316656451
84	1.315371663
85	1.314171897
86	1.313271268
87	1.312111182
88	1.311267131
89	1.310260653
90	1.309338408
91	1.3080809
92	1.307590176
93	1.307232539
94	1.306576362
95	1.305587114
96	1.304672896
97	1.303872685
98	1.303132908
99	1.302522135
100	1.301705023
101	1.301247197
102	1.300568189
103	1.299845672
104	1.298792472
105	1.298047091
106	1.297437951
107	1.29684473
108	1.296143276
109	1.295415374
110	1.294540451
111	1.293824876
112	1.293224439
113	1.292668737
114	1.29207692
115	1.291626964
116	1.291088062
117	1.290379451
118	1.289940591
119	1.289249259
120	1.288780202
121	1.288343919
122	1.287489335
123	1.286820635
124	1.286362233
125	1.285957768
126	1.285231691
127	1.284642933
128	1.283949357
129	1.283471756
130	1.282872551
131	1.282324062
132	1.281422579
133	1.280595885
134	1.279888992
135	1.279174811
136	1.278523571
137	1.278028423
138	1.277355605
139	1.276537474
140	1.276138776
141	1.275737233
142	1.275038336
143	1.274677722
144	1.274097738
145	1.273427995
146	1.272836316
147	1.272050752
148	1.271584618
149	1.270727171
150	1.269916488
151	1.269281643
152	1.268742823
153	1.268275587
154	1.267806895
155	1.267509456
156	1.266990412
157	1.266452989
158	1.265840276
159	1.265470318
160	1.265056108
161	1.264324626
162	1.263741269
163	1.26317304
164	1.262489933
165	1.261923071
166	1.261354417
167	1.260856836
168	1.260121792
169	1.259551905
170	1.259128988
171	1.258421665
172	1.257930953
173	1.257515265
174	1.257000493
175	1.25641035
176	1.255851528
177	1.255638432
178	1.255103442
179	1.254641527
180	1.254209996
181	1.253678091
182	1.253036648
183	1.25245884
184	1.252198111
185	1.251692809
186	1.251376348
187	1.250972598
188	1.250767419
189	1.250232779
190	1.24991575
191	1.249630281
192	1.24912426
193	1.248555845
194	1.248184325
195	1.247865616
196	1.247463719
197	1.247041559
198	1.246733727
199	1.246351973
200	1.245913006
201	1.245589067
202	1.245141613
203	1.244705112
204	1.244407164
205	1.243911099
206	1.243382472
207	1.243114294
208	1.242733798
209	1.242447471
210	1.242195084
211	1.241768105
212	1.241433919
213	1.241013559
214	1.240723865
215	1.240347449
216	1.240068559
217	1.239591239
218	1.239199499
219	1.238794287
220	1.238483554
221	1.238041085
222	1.237365067
223	1.23695203
224	1.236476241
225	1.236044076
226	1.235786097
227	1.235425235
228	1.235179624
229	1.234711683
230	1.234191081
231	1.233933391
232	1.233609598
233	1.233274871
234	1.232991121
235	1.232722065
236	1.23258596
237	1.232070189
238	1.231778229
239	1.231306751
240	1.231090982
241	1.230906543
242	1.230499086
243	1.23026671
244	1.229920036
245	1.229521078
246	1.229130513
247	1.228881311
248	1.228683329
249	1.228438671
250	1.228179264
251	1.227816113
252	1.227542359
253	1.22720653
254	1.226769423
255	1.22654233
256	1.22616257
257	1.22595211
258	1.225703769
259	1.225428076
260	1.225242539
261	1.224900989
262	1.22469387
263	1.224524138
264	1.224321398
265	1.22408609
266	1.223921594
267	1.223551727
268	1.223222562
269	1.222946689
270	1.22273321
271	1.2223522
272	1.22185401
273	1.221503685
274	1.221059401
275	1.220912851
276	1.220553087
277	1.220403664
278	1.219853484
279	1.21953217
280	1.219078352
281	1.218825609
282	1.218389406
283	1.218058327
284	1.217784748
285	1.217633546
286	1.217312358
287	1.217118927
288	1.216905607
289	1.21653319
290	1.216290523
291	1.216148512
292	1.215915515
293	1.215582835
294	1.215269244
295	1.215092925
296	1.214934933
297	1.214686664
298	1.214352572
299	1.21412938
300	1.213963001
301	1.21368053
302	1.213457303
303	1.213313032
304	1.212956507
305	1.212572782
306	1.212306248
307	1.212170942
308	1.211906566
309	1.211718341
310	1.211433368
311	1.211222419
312	1.211091114
313	1.210936029
314	1.210581254
315	1.210341519
316	1.21002443
317	1.209884221
318	1.209488351
319	1.209272604
320	1.20898455
321	1.208843811
322	1.208534778
323	1.208344507
324	1.208184124
325	1.207911027
326	1.20767962
327	1.207393261
328	1.206992208
329	1.206759747
330	1.206403365
331	1.206157137
332	1.205739876
333	1.205462439
334	1.20533427
335	1.205128007
336	1.204831274
337	1.204712182
338	1.204468201
339	1.204230948
340	1.204039373
341	1.203902619
342	1.203692234
343	1.203396381
344	1.20322205
345	1.20302505
346	1.20283742
347	1.202689653
348	1.202494883
349	1.202362762
350	1.20212495
351	1.201975264
352	1.201821329
353	1.201615606
354	1.201471982
355	1.201301442
356	1.20107951
357	1.200846258
358	1.20047433
359	1.200302036
360	1.200132212
361	1.200039946
362	1.199701336
363	1.199366102
364	1.199137907
365	1.198771935
366	1.198622595
367	1.198428391
368	1.198251985
369	1.198123137
370	1.197901726
371	1.197723697
372	1.197559113
373	1.197365009
374	1.197148294
375	1.196927687
376	1.196749763
377	1.196556867
378	1.196369405
379	1.196162338
380	1.195955337
381	1.195755263
382	1.195561014
383	1.195399671
384	1.195082088
385	1.194979696
386	1.194848892
387	1.194564528
388	1.194421787
389	1.194290401
390	1.194078764
391	1.193893659
392	1.193807195
393	1.193664913
394	1.193528862
395	1.193270732
396	1.193137018
397	1.192969691
398	1.192842558
399	1.192598445
400	1.192336704
401	1.192223948
402	1.192027464
403	1.191932591
404	1.191717117
405	1.191510202
406	1.19134222
407	1.190936734
408	1.190720749
409	1.190370492
410	1.190157091
411	1.189975495
412	1.189842211
413	1.189630534
414	1.189315999
415	1.189044947
416	1.188848885
417	1.18866682
418	1.188433526
419	1.188180043
420	1.187968928
421	1.187792087
422	1.187592729
423	1.187447699
424	1.187181718
425	1.187071078
426	1.186848778
427	1.186675359
428	1.186500234
429	1.186281182
430	1.186085099
431	1.185892288
432	1.18565821
433	1.185422206
434	1.185249542
435	1.185013737
436	1.184792066
437	1.184667877
438	1.184577222
439	1.184474142
440	1.184237149
441	1.184074014
442	1.183894994
443	1.183740894
444	1.183623354
445	1.183469149
446	1.183302481
447	1.183143215
448	1.18289998
449	1.182781342
450	1.182545036
451	1.18237519
452	1.18222772
453	1.182100756
454	1.181997254
455	1.181790763
456	1.181634964
457	1.181375757
458	1.18114056
459	1.181022615
460	1.18091277
461	1.180720359
462	1.180585129
463	1.180501134
464	1.180361512
465	1.180107299
466	1.179973459
467	1.179880049
468	1.179772934
469	1.179544329
470	1.17937643
471	1.17928904
472	1.17908737
473	1.178967612
474	1.17888961
475	1.178809911
476	1.178698509
477	1.17854834
478	1.178404424
479	1.178252295
480	1.178118262
481	1.177994583
482	1.177923023
483	1.177774751
484	1.17758916
485	1.177497454
486	1.177269598
487	1.177052438
488	1.176948218
489	1.176830515
490	1.176633331
491	1.1764719
492	1.176365398
493	1.176273885
494	1.176119576
495	1.175941864
496	1.17576909
497	1.175582477
498	1.175456313
499	1.175267951
500	1.175159826
501	1.174979412
502	1.17481559
503	1.174678348
504	1.174583685
505	1.174420789
506	1.174296956
507	1.174105518
508	1.17395744
509	1.17376463
510	1.173648046
511	1.173549722
512	1.173381778
513	1.17326405
514	1.173105015
515	1.172954547
516	1.172852545
517	1.172752367
518	1.172657375
519	1.172538725
520	1.172479755
521	1.172411656
522	1.172200618
523	1.171992889
524	1.171884554
525	1.17176255
526	1.171585186
527	1.171460649
528	1.171356127
529	1.171183345
530	1.171021632
531	1.170863006
532	1.170767503
533	1.170614371
534	1.170513442
535	1.170354698
536	1.170143032
537	1.170054455
538	1.169978936
539	1.16981294
540	1.169738805
541	1.169666254
542	1.169546407
543	1.169457788
544	1.16935337
545	1.169262014
546	1.169155154
547	1.168994803
548	1.168839139
549	1.168743591
550	1.168615928
551	1.168456165
552	1.168288509
553	1.168173347
554	1.168055123
555	1.167856482
556	1.167783908
557	1.167691573
558	1.167543751
559	1.167412571
560	1.167257826
561	1.167169896
562	1.167017938
563	1.1668025
564	1.166673469
565	1.166555458
566	1.166438757
567	1.166332098
568	1.166148447
569	1.166067574
570	1.165982668
571	1.165836764
572	1.165771254
573	1.165684661
574	1.16562943
575	1.165486031
576	1.165330302
577	1.16521592
578	1.165097838
579	1.165031279
580	1.164897046
581	1.164727557
582	1.16461071
583	1.164469652
584	1.164364993
585	1.164291194
586	1.164193985
587	1.16410212
588	1.164065736
589	1.163982486
590	1.163868752
591	1.163751341
592	1.163622846
593	1.163537946
594	1.163417322
595	1.163273294
596	1.163096549
597	1.162998224
598	1.162941629
599	1.162834211
600	1.162742566
601	1.162582371
602	1.162453217
603	1.162301584
604	1.162232619
605	1.162139122
606	1.161941892
607	1.161859797
608	1.161772714
609	1.161650332
610	1.161541426
611	1.161477426
612	1.161384268
613	1.161296
614	1.161214432
615	1.16102094
616	1.160951066
617	1.160837376
618	1.16076668
619	1.160622332
620	1.160554967
621	1.160457965
622	1.16035854
623	1.160227978
624	1.160163434
625	1.160057258
626	1.159928679
627	1.159818684
628	1.159633623
629	1.159500385
630	1.159411746
