iter	Passed	Remaining
0	354	35105
1	675	33086
2	987	31930
3	1347	32341
4	1754	33340
5	2068	32405
6	2389	31743
7	2699	31045
8	3013	30473
9	3332	29996
10	3647	29511
11	3970	29115
12	4284	28671
13	4601	28263
14	4915	27853
15	5230	27461
16	5550	27097
17	5866	26724
18	6182	26357
19	6493	25974
20	6813	25631
21	7125	25261
22	7445	24926
23	7768	24600
24	8080	24240
25	8392	23886
26	8709	23548
27	9025	23209
28	9353	22900
29	9671	22566
30	9981	22216
31	10298	21885
32	10615	21553
33	10936	21228
34	11250	20893
35	11567	20564
36	11884	20235
37	12203	19910
38	12520	19583
39	12836	19254
40	13158	18934
41	13479	18614
42	13800	18293
43	14108	17955
44	14427	17633
45	14739	17302
46	15049	16970
47	15364	16644
48	15672	16312
49	15982	15982
50	16298	15659
51	16614	15336
52	16930	15014
53	17253	14697
54	17566	14372
55	17882	14050
56	18197	13727
57	18509	13403
58	18820	13078
59	19138	12759
60	19453	12437
61	19771	12118
62	20094	11801
63	20409	11480
64	20728	11161
65	21044	10840
66	21370	10525
67	21687	10205
68	22003	9885
69	22313	9563
70	22636	9245
71	22948	8924
72	23409	8658
73	23923	8405
74	24360	8120
75	24691	7797
76	25003	7468
77	25316	7140
78	25638	6815
79	25958	6489
80	26298	6168
81	26618	5843
82	26935	5516
83	27260	5192
84	27581	4867
85	27899	4541
86	28215	4216
87	28533	3890
88	28849	3565
89	29164	3240
90	29484	2916
91	29801	2591
92	30179	2271
93	30527	1948
94	30859	1624
95	31181	1299
96	31497	974
97	31813	649
98	32126	324
99	32439	0
